CattleNECSatifactionIndex,MSTBaldiol,MSTCaangol,MSTCattleNEC,MSTSangre,MSTSeeno,MSTSheepNEC,MSTTrees,SatisfactionMeanTreesInBaldiol,SatisfactionMeanTreesInCaangol,SatisfactionMeanTreesInSangre,SatisfactionMeanTreesInSeeno,SheepNECSatifactionIndex,TreeDensitySatisfactionOldes,cattlesWeightGain,goodShepherdPercentage,interfaceNumberOfCampI,meanCattlesLiveWeight,meanCattlesNEC,meanFruitsConsumedCattle,meanFruitsConsumedSheep,meanGrass,meanLeavesConsumedCattle,meanLeavesConsumedSheep,meanSheepsLiveWeight,meanSheepsNEC,openmole$experiment,proportionBigHerders,proportionMediumHerders,sheepsWeightGain,sumLargeHerder,sumMediumHerder,sumSmallHerder,totalCattles,totalFoyers,totalGrass,totalSheeps,totalTrees,totalTreesOldes,totalTreesYoung
3.0,1.0,0.9005479452054794,0.42914696519904144,0.9005479452054794,1.0,0.4243971529739976,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.2950993558062762,100.0,60.0,204.627622971336,2.9965615141367707,1786.7799684901026,545.6927185371868,106302.71469565612,4147.338802737017,1019.3032307988772,39.85411999238819,3.2415255089059767,6821,40.0,0.0,-0.07310704960835465,141.0,0.0,242.0,6253.0,383.0,5.6234136074002095E7,9397.0,7.6783021E7,109049.2911153119,36098.1965973535
3.0,1.0,0.9005479452054794,0.4358415173867229,0.9005479452054794,1.0,0.42246153846153844,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.29802979303317806,100.0,50.0,197.11673041084686,2.8541447879610167,1781.493731773826,519.7563860116267,106918.3009907684,4350.385349906678,1079.9266241657997,39.84684416720438,3.2399270360644055,6820,40.0,0.0,-0.07840108109113622,135.0,0.0,190.0,5877.0,325.0,5.6559781224116474E7,8664.0,7.7185609E7,109623.82041587902,36284.703213610584
3.0,1.0,0.9005479452054794,0.4290689912826899,0.9005479452054794,1.0,0.41199003735990036,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.27425041225591196,100.0,40.0,193.02421026929386,2.779398739032377,1494.4277507166366,425.11613154908065,110568.97785301313,3150.0204498055787,786.3673382533783,39.873118437667685,3.2444762073625486,6819,40.0,0.0,-0.0651636363636363,110.0,0.0,165.0,4801.0,275.0,5.849098928424389E7,6990.0,8.0681113E7,114530.1134215501,37986.16824196597
3.0,1.0,0.9005479452054794,0.4562522615662962,0.9005479452054794,1.0,0.45242569139312483,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.2518346099526734,100.0,30.0,201.79154355703713,3.0077476694786993,1485.2519389175602,333.7867427265117,114231.4863140942,2549.900268922536,617.6680720956577,39.86239917012191,3.243933400907763,6818,40.0,0.0,-0.06233962264150948,90.0,0.0,122.0,3824.0,212.0,6.042845626015584E7,5490.0,8.3369752E7,118537.26086956522,39061.51417769376
3.0,1.0,0.9005479452054794,0.4018427818756586,0.9005479452054794,1.0,0.3709112750263435,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.3292088489984776,100.0,100.0,206.6001573978573,3.072658627827413,2970.10585727219,956.6308179732099,91805.01494040698,7959.81317294917,1942.167467096976,39.85663159587194,3.2418797360293543,6817,30.0,50.0,-0.06719999999999995,206.0,325.0,119.0,10977.0,650.0,4.856485290347532E7,16849.0,6.8431316E7,97084.82419659736,32274.941398865783
3.0,1.0,0.9005479452054794,0.4122543433262786,0.9005479452054794,1.0,0.40447705653882826,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.36109327600738245,100.0,90.0,212.46764294189404,3.1804434022207686,2922.984027142426,686.8026724598456,97740.48634780003,6886.952765406472,1619.2666970095952,39.84426526913095,3.240512857850068,6816,30.0,50.0,-0.07108120467022425,184.0,280.0,125.0,9600.0,589.0,5.170471727798622E7,14826.0,7.0764851E7,100459.46124763705,33311.5236294896
3.0,1.0,0.9005479452054794,0.41421200136200526,0.9005479452054794,1.0,0.4027386783310197,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.3373342304424441,100.0,80.0,198.19292471587195,2.924731033897859,2415.8323724432557,664.2717313158131,99198.10351540805,5560.440012374217,1499.166955111194,39.85000537719436,3.2414578102917817,6815,30.0,50.0,-0.06981261950286778,152.0,271.0,100.0,8421.0,523.0,5.247579675965084E7,12646.0,7.3159327E7,103966.28355387524,34331.120982986766
3.0,1.0,0.9005479452054794,0.430189792812102,0.9005479452054794,1.0,0.4330115242444009,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.31316220266719247,100.0,70.0,195.18243851913655,2.784332156587579,2462.3964198907915,706.9988343792578,104810.69619951266,4989.181677572021,1260.1477281833015,39.86004122506433,3.243504561301678,6814,30.0,50.0,-0.06119702121376894,135.0,208.0,98.0,6944.0,441.0,5.5444858289542176E7,10759.0,7.5356409E7,106998.79017013233,35451.88846880908
3.0,1.0,0.9005479452054794,0.44086841446403663,0.9005479452054794,1.0,0.43102042276190133,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.2559294345655535,100.0,60.0,185.53323549419363,2.5381869620580404,1981.1901816484503,554.7136265140305,105406.85430369485,4382.251399032396,1202.3241087941046,39.855988902731376,3.24257149640161,6813,30.0,50.0,-0.06404177545691876,120.0,192.0,71.0,6313.0,383.0,5.5760225926654615E7,9902.0,7.6917514E7,109138.94328922495,36262.78449905482
3.0,1.0,0.9005479452054794,0.44303393045310857,0.9005479452054794,1.0,0.42550221285563755,0.6005479452054795,40.0,100.0,55.0,20.0,3.0,6000.0,-0.27321740888959756,100.0,50.0,206.3859747732222,2.9930714077570784,1671.598521017498,477.3457398657749,110716.34425859932,3743.4788039188834,994.601537424028,39.864598400947585,3.2432243823192275,6812,30.0,50.0,-0.06232692605471956,91.0,171.0,63.0,5049.0,325.0,5.856894611279906E7,7652.0,7.9072277E7,112184.60491493384,37290.3988657845
