CattleNECSatifactionIndex,MSTBaldiol,MSTCaangol,MSTCattleNEC,MSTSangre,MSTSeeno,MSTSheepNEC,MSTTempsPasse,MSTTransCattleNEC,MSTTransSheepNEC,MSTTrees,SatisfactionMeanTreesInBaldiol,SatisfactionMeanTreesInCaangol,SatisfactionMeanTreesInSangre,SatisfactionMeanTreesInSeeno,SheepNECSatifactionIndex,avgUBTpercamp,cattlesTempCamp,cattlesWeightGain,decreasingFactor,goodShepherdPercentage,maxTransCattlesLiveWeight,maxTransSheepsLiveWeight,meanCattlesGrassEaten,meanCattlesLiveWeight,meanCattlesNEC,meanFruitsConsumedCattle,meanFruitsConsumedSheep,meanGrass,meanLeavesConsumedCattle,meanLeavesConsumedSheep,meanSheepsGrassEaten,meanSheepsLiveWeight,meanSheepsNEC,meanTransCattlesLiveWeight,meanTransCattlesNEC,meanTransSheepsLiveWeight,meanTransSheepsNEC,minTimePresence,minTransCattlesLiveWeight,minTransSheepsLiveWeight,numberofCamps,openmole$experiment,proportionBigHerders,proportionMediumHerders,reforestationPlots,sheepsTempCamp,sheepsWeightGain,sumLargeHerder,sumMediumHerder,sumSmallHerder,thresholdTreeSatisfaction,totalCattles,totalFoyers,totalGPBaldiol,totalGPCaangol,totalGPSangre,totalGPSeeno,totalGrass,totalLocalFoyers,totalSheeps,totalTransCattles,totalTransFoyers,totalTransSheeps,totalTrees,totalTreesOldes,totalTreesYoung,trajSatisfactionBaldiol,trajSatisfactionCaangol,trajSatisfactionSangre,trajSatisfactionSeeno,transCattlesWeightGain,transSheepsWeightGain,treesKilled
3.0,1.0,0.0,0.9575710832278117,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.22531211071663673,10.0,90.0,0.0,0.0,6.338388658055295,349.9620682051933,4.135592530029223,0.0,2.9986619127300094E-19,46222.28639752749,2.388378943731429E-16,3.492070628305292E-17,0.9214968278035501,68.55138644934573,5.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3083,40.0,0.0,0.0,0.0,0.015777672789678808,50.0,0.0,69.0,0.5,1962.0,119.0,208.0,0.0,0.0,89.0,2.445158950429203E7,119.0,2737.0,0.0,0.0,0.0,8735154.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,18522.0
3.0,1.0,0.0,0.8745205479452055,0.0,1.0,0.6418297455968689,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.261045361508187,10.0,90.0,0.0,0.0,6.346021166881404,350.00000000000006,4.136008230452674,0.0,4.184729106424564E-19,54200.70838457071,0.0,7.229178686593307E-18,0.9240043728912891,52.45661777830407,4.247176243416943,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3234,40.0,0.0,6.0,0.0,0.0243965657900936,15.0,0.0,13.0,0.5,481.0,28.0,205.0,0.0,0.0,84.0,2.8672174735437874E7,28.0,743.0,0.0,0.0,0.0,8665581.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4484.0
3.0,1.0,0.0,0.9507093933463797,0.0,1.0,0.9987818003913894,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.2414540137973536,10.0,90.0,0.0,0.0,6.341987314799179,348.27112175689444,4.094859232244586,4.9539989121297725E-17,0.0,50548.08884576559,7.844641852786378E-17,0.0,0.9224520357613828,59.09484581547108,4.866587563747146,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3208,40.0,10.0,2.0,0.0,0.0198706345029823,52.0,10.0,50.0,0.5,1925.0,112.0,208.0,0.0,0.0,91.0,2.673993899941003E7,112.0,2968.0,0.0,0.0,0.0,8811188.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,18463.0
3.0,1.0,0.0,0.9613974573765645,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.2184203005871101,10.0,90.0,0.0,0.0,6.337330813017485,350.0,4.136008230452671,2.8819271904456616E-17,0.0,53140.39800910225,9.409136471985758E-17,0.0,0.92206828956853,64.99562582975203,4.992970849542914,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3302,30.0,20.0,8.0,0.0,0.015951770485881842,45.0,20.0,74.0,0.5,1963.0,139.0,207.0,0.0,0.0,87.0,2.811127054681512E7,139.0,2731.0,0.0,0.0,0.0,8788881.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,18375.0
3.0,1.0,0.0,0.8949923896499239,0.0,1.0,0.7026255707762558,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.22077869273435088,10.0,90.0,0.0,0.0,6.3439901515443,350.0,4.136008230452674,5.4141357494134274E-18,0.0,54424.48442911773,9.205589321072322E-17,0.0,0.9229047798668462,52.40502721154422,4.2466131221593155,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3211,40.0,10.0,4.0,0.0,0.014763553728162328,12.0,4.0,20.0,0.5,492.0,36.0,204.0,0.0,0.0,86.0,2.8790552263003256E7,36.0,675.0,0.0,0.0,0.0,8668122.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4354.0
3.0,1.0,0.0,0.9542026694766421,0.0,1.0,0.9996575342465753,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.22334428217311555,10.0,90.0,0.0,0.0,6.339990858666852,349.8969659338675,4.134132309795967,4.707802614222624E-17,1.5362184284099792E-19,50602.14425350711,1.5230391517130165E-16,8.260505806019977E-18,0.9224175189893316,63.16488064781074,4.939054286150237,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3283,30.0,30.0,2.0,0.0,0.015635961434392567,37.0,58.0,61.0,0.5,1922.0,156.0,209.0,0.0,0.0,85.0,2.676853431010528E7,156.0,2987.0,0.0,0.0,0.0,8811235.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,19632.0
3.0,1.0,0.0,0.9546616233898998,0.0,1.0,0.9973829482723369,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.22857888698096424,10.0,90.0,0.0,0.0,6.34435324528644,343.2625946604126,4.0002390079328265,2.900749556435924E-17,2.440103005500254E-18,47980.228813256246,1.227720768348429E-17,8.21347906922932E-17,0.922737250686442,64.64857338430551,4.7288664165714085,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3284,30.0,30.0,0.0,0.0,0.01896725101933095,45.0,43.0,46.0,0.5,1912.0,134.0,209.0,0.0,0.0,88.0,2.538154104221257E7,134.0,3049.0,0.0,0.0,0.0,9180398.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,19377.0
3.0,1.0,0.0,0.9547142182333491,0.0,1.0,0.9999244213509684,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.24459587349911954,10.0,90.0,0.0,0.0,6.34643036061189,349.2656049238115,4.125191753470143,0.0,9.075920097956722E-18,55396.659598788654,2.7803846181916966E-16,3.06980592706475E-17,0.924497403297669,60.03229266210818,4.808859787448887,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3256,30.0,40.0,2.0,0.0,0.021032444162752847,45.0,42.0,29.0,0.5,1924.0,116.0,212.0,0.0,0.0,86.0,2.9304832927759174E7,116.0,2975.0,0.0,0.0,0.0,8792415.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,18417.0
3.0,1.0,0.0,0.8953705655075518,0.0,1.0,0.7796206533192835,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.26662280113397147,10.0,90.0,0.0,0.0,6.363961516859642,350.0,4.136008230452674,0.0,2.0968017200998746E-17,57847.99079275188,0.0,2.1071808558858113E-19,0.9286179901431606,53.949792499033336,4.447826865408898,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3288,30.0,30.0,0.0,0.0,0.026681026580316118,12.0,9.0,18.0,0.5,469.0,39.0,205.0,0.0,0.0,86.0,3.060158712936576E7,39.0,818.0,0.0,0.0,0.0,8671730.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4792.0
3.0,1.0,0.0,0.960476083539187,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.23914051957919136,10.0,90.0,0.0,0.0,6.33886915193333,349.730395281003,4.131327926744712,3.0867840160069927E-17,4.63291026434257E-17,48898.45722015733,2.912060392459427E-17,1.0377588506412491E-17,0.9228675839125138,68.79819964150327,4.996459365134491,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3167,40.0,30.0,4.0,0.0,0.019686171903679404,52.0,32.0,38.0,0.5,1850.0,122.0,209.0,0.0,0.0,89.0,2.5867283869463205E7,122.0,3437.0,0.0,0.0,0.0,8755976.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,20918.0
3.0,1.0,0.0,0.9482516489091832,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.23118683325044007,10.0,90.0,0.0,0.0,6.3358524181573,348.974425369327,4.118476646129177,1.6258247442903798E-16,1.4535672909375747E-27,45361.789631063715,2.369335827300465E-16,9.21060235019403E-17,0.9217192219242217,71.45487286803295,4.982475854886455,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3253,30.0,40.0,8.0,0.0,0.019285799962079814,40.0,54.0,41.0,0.5,1904.0,135.0,206.0,0.0,0.0,88.0,2.3996386714832693E7,135.0,3100.0,0.0,0.0,0.0,8829232.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,20518.0
3.0,1.0,0.0,0.8879520547945206,0.0,1.0,0.7207260273972603,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.23424240325650564,10.0,90.0,0.0,0.0,6.330164723218407,349.87840866867947,4.132594298709902,0.0,5.88418203051333E-18,54430.389002181095,0.0,0.0,0.9193416972803385,51.23634075417958,4.368068608550255,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3257,30.0,40.0,10.0,0.0,0.01876747731603536,9.0,14.0,17.0,0.5,482.0,40.0,205.0,0.0,0.0,84.0,2.8793675782153796E7,40.0,737.0,0.0,0.0,0.0,8665269.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4349.0
3.0,1.0,0.0,0.9538566912539514,0.0,1.0,0.9949121882683527,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.22391383509261728,10.0,60.0,0.0,0.0,6.341430764518084,349.99762651054056,4.1359418762401825,1.515478702892526E-16,1.5087646232085461E-18,49765.92976747222,1.2451158984278612E-16,0.0,0.9220771933055047,61.33694824569827,4.737955400775597,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3020,30.0,10.0,2.0,0.0,0.01602771791241581,44.0,13.0,99.0,0.5,1947.0,156.0,208.0,0.0,0.0,89.0,2.6326176846992794E7,156.0,2831.0,0.0,0.0,0.0,8778197.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,21041.0
