evolution$generation,evolution$evaluated,goodShepherdPercentage,proportionMediumHerders,numberofCamps,objective$MSTCattleNEC,objective$totalTrees,evolution$samples,evolution$generated,proportionBigHerders,totalGPSeeno,sheepsTempCamp,MSTCattleNEC,cattlesTempCamp,minTransCattlesLiveWeight,meanTransSheepsLiveWeight,SatisfactionMeanTreesInBaldiol,numberofCamps,proportionMediumHerders,totalGPBaldiol,MSTCaangol,thresholdTreeSatisfaction,SheepNECSatifactionIndex,meanGrass,maxTransSheepsLiveWeight,meanFruitsConsumedSheep,goodShepherdPercentage,minTimePresence,meanSheepsGrassEaten,totalGPCaangol,sumMediumHerder,meanLeavesConsumedCattle,trajSatisfactionSangre,sumLargeHerder,transCattlesWeightGain,MSTSheepNEC,MSTTempsPasse,sumSmallHerder,MSTBaldiol,SatisfactionMeanTreesInSangre,totalTransCattles,MSTSeeno,totalGPSangre,meanCattlesNEC,transSheepsWeightGain,totalCattles,totalTreesOldes,totalSheeps,totalTransSheeps,meanSheepsLiveWeight,MSTTrees,totalGrass,totalTransFoyers,meanSheepsNEC,maxTransCattlesLiveWeight,meanCattlesLiveWeight,treesKilled,meanTransCattlesNEC,SatisfactionMeanTreesInSeeno,decreasingFactor,CattleNECSatifactionIndex,totalLocalFoyers,sheepsWeightGain,SatisfactionMeanTreesInCaangol,totalTrees,meanTransCattlesLiveWeight,meanTransSheepsNEC,totalTreesYoung,avgUBTpercamp,MSTTransSheepNEC,totalFoyers,MSTTransCattleNEC,minTransSheepsLiveWeight,MSTSangre,cattlesWeightGain,meanCattlesGrassEaten,meanLeavesConsumedSheep,meanFruitsConsumedCattle,trajSatisfactionSeeno,trajSatisfactionCaangol,trajSatisfactionBaldiol
910,2819,67.98772497724578,14.680936121617679,67.89552015567148,-0.968618601297765,-9301395.0,1,325,"[46.0]","[85.0]","[0.0]","[0.968618601297765]","[0.0]","[0.0]","[0.0]","[40.0]","[67.89552015567148]","[14.680936121617679]","[217.0]","[0.0]","[0.5]","[3.0]","[40069.645914917346]","[0.0]","[9.910201314548767E-18]","[67.98772497724578]","[30.0]","[0.9221477846998751]","[0.0]","[29.0]","[1.3106498432497537E-16]","[0.0]","[79.0]","[0.0]","[1.0]","[0.0]","[82.0]","[1.0]","[55.0]","[0.0]","[1.0]","[4.0]","[4.055479371147628]","[0.0]","[3335.0]","[0.0]","[4617.0]","[0.0]","[72.26868378242067]","[0.0]","[2.1196842688991245E7]","[0.0]","[5.0]","[0.0]","[346.0273955691038]","[43727.0]","[0.0]","[20.0]","[10.0]","[3.0]","[190.0]","[0.0170179319591237]","[100.0]","[9301395.0]","[0.0]","[0.0]","[0.0]","[60.0]","[0.0]","[190.0]","[0.0]","[0.0]","[0.0]","[0.2513239099633633]","[6.344000334664399]","[3.739698609263685E-17]","[2.7101990099649768E-17]","[3650.0]","[0.0]","[3650.0]"
910,2819,72.31532942722261,19.767248554756925,79.63487964885425,-0.9605521837950735,-9211726.0,12,0,"[46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0]","[88.0,90.0,91.0,89.0,88.0,85.0,88.0,86.0,92.0,86.0,88.0,86.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.9590020514856727,0.9640519845451352,0.9588595398833323,0.9584435179670439,0.9617351598173517,0.961423287671233,0.9603561643835616,0.9607482032065852,0.9655079908675799,0.9600438356164384,0.9562957402889848,0.9612874052400585]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0]","[79.63487964885425,79.63487964885425,79.63487964885425,79.63487964885425,79.63487964885425,79.63487964885425,79.63487964885425,79.63487964885425,79.63487964885425,79.63487964885425,79.63487964885425,79.63487964885425]","[19.767248554756925,19.767248554756925,19.767248554756925,19.767248554756925,19.767248554756925,19.767248554756925,19.767248554756925,19.767248554756925,19.767248554756925,19.767248554756925,19.767248554756925,19.767248554756925]","[231.0,230.0,225.0,237.0,233.0,217.0,222.0,240.0,219.0,228.0,225.0,222.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[42921.48906520833,44626.95066255849,38195.83567382493,44071.14764438881,46677.4200828946,40122.78816302711,42603.23810764099,41273.0307980596,44593.57906263522,43414.01110775541,42797.22482587715,41060.230217957534]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[8.512898897506126E-19,7.420396958648016E-28,1.5654022125694263E-17,2.7288960141754E-17,1.132594000868224E-19,4.2399761046901045E-17,1.5613053472771623E-18,1.579211318349419E-17,1.913511243373833E-17,1.0216990233512643E-18,4.932306556006646E-17,3.390807430715742E-17]","[72.31532942722261,72.31532942722261,72.31532942722261,72.31532942722261,72.31532942722261,72.31532942722261,72.31532942722261,72.31532942722261,72.31532942722261,72.31532942722261,72.31532942722261,72.31532942722261]","[30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0]","[0.9240965189244289,0.921905596169773,0.922516850076482,0.9190509083969013,0.923569978442872,0.9233415173687223,0.922724784054963,0.9241129359394435,0.9242274380679248,0.9231577452577606,0.9226178265877191,0.9233439788325705]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[41.0,33.0,40.0,45.0,37.0,37.0,40.0,55.0,27.0,37.0,44.0,53.0]","[1.253720626166651E-16,3.4615964780033976E-16,1.366416481373801E-16,0.5578574652333022,4.826043503813151E-17,8.810672826346427E-17,1.0268956456115242E-16,7.128616393869143E-17,3.561432225693538E-17,7.141072994264111E-17,1.6296680864688488E-17,1.6551565569963314E-16]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[96.0,101.0,96.0,95.0,98.0,102.0,97.0,93.0,99.0,98.0,95.0,90.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.9999391171993912,0.9987790656831752,0.9998636691354789,0.9972126265634306,0.9999036022323694,0.9844780821917808,0.9999425962165688,0.9997407703175871,1.0,0.998858904109589,0.9814299118033402,1.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[70.0,61.0,73.0,67.0,81.0,61.0,73.0,75.0,66.0,65.0,80.0,63.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[2.0,6.0,2.0,6.0,13.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0]","[4.106717405716917,4.118402549785344,4.091713654674669,4.084271434575447,4.134702767353596,4.134625401058542,4.061663070391422,4.124630780182542,4.136008230452684,4.128119518859025,4.1209621291750445,4.091902783010038]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[3842.0,3858.0,3869.0,3824.0,3866.0,3800.0,3873.0,3837.0,3876.0,3880.0,3850.0,3883.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[5850.0,5750.0,5681.0,5963.0,5700.0,6113.0,5656.0,5881.0,5638.0,5613.0,5800.0,5594.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[70.3601233976437,68.98731758868662,71.63460182875352,69.75279908586822,73.25260514666348,66.4678512194682,68.75788749100019,70.44479973989142,73.07764599962911,71.51041980361633,63.47245551940612,73.78821546077027]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[2.2705467715495188E7,2.360765690049344E7,2.020559707145337E7,2.331363710388166E7,2.4692355223851267E7,2.1224954938241344E7,2.253711295894208E7,2.1833433292173516E7,2.3590003324134048E7,2.296601187600262E7,2.2639731932889026E7,2.172086178529954E7]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[4.986593577529251,4.877354537016652,4.947675963117241,4.93317052969849,4.970371216565992,4.791076180178284,4.8734040563606715,4.9909996155969125,5.0,4.967261886466968,4.844929362220886,4.99246402151607]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[348.68146170686464,349.0635781837754,348.3888620829815,347.7207084997458,349.8703106340611,349.9614234381558,346.42557054617447,349.3493179471072,350.0,349.71581446280595,349.3219379237038,347.5668726001782]","[53159.0,65289.0,66638.0,70777.0,63803.0,47224.0,59909.0,52215.0,55835.0,63112.0,69781.0,56208.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0]","[10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0]","[3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0]","[207.0,195.0,209.0,207.0,216.0,200.0,210.0,223.0,192.0,200.0,219.0,206.0]","[0.0190922719082531,0.017720347970633085,0.018844071774476587,0.01784353803836568,0.017027612104148486,0.017993506189473076,0.01756125731076154,0.01782865619873707,0.016303325249372638,0.01797513723340698,0.01759118243698426,0.01873924989109087]","[100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0]","[9200169.0,9046802.0,8813380.0,1.0710624E7,9223283.0,8683324.0,9419432.0,9126874.0,8753897.0,9645529.0,9504456.0,9458588.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[207.0,195.0,209.0,207.0,216.0,200.0,210.0,223.0,192.0,200.0,219.0,206.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.2418098712402892,0.22677995228531062,0.24635408694736233,0.22516322250190623,0.24223020483241903,0.2392497719406511,0.23820286072528504,0.2329697501822444,0.22649942425983516,0.23743037151898203,0.24564781178157005,0.24422407190418338]","[6.348373726250198,6.338119072833848,6.344370399337687,6.273096425026911,6.343385189685146,6.342808850017829,6.341318371076075,6.348656037724189,6.345679778798444,6.342955963246324,6.344395632585434,6.343824768388035]","[2.039890011131431E-17,7.28755202940327E-17,3.4154094844693564E-17,0.18124410436437444,6.762566712755433E-17,9.341637199434966E-17,9.87414340385499E-18,1.9645021937812617E-17,3.4238325699871087E-17,1.0340349472843728E-20,3.258609104524479E-17,5.0126084571532063E-17]","[1.2904149801454496E-17,7.7248748711824E-17,7.24207019153734E-17,0.005966384777013732,1.3410368054676216E-16,1.3336043930693691E-16,7.04473423587192E-17,6.827824092906102E-17,9.475588707333798E-19,6.6859765090219765E-28,1.1197604003011157E-28,4.589867678621474E-18]","[3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0,3650.0]"
910,2819,4.2629727106371496,13.403000292201607,109.89072527158469,-0.4119359182725795,-5.1123952E7,1,575,"[46.0]","[106.0]","[0.0]","[0.4119359182725795]","[0.0]","[0.0]","[0.0]","[40.0]","[109.89072527158469]","[13.403000292201607]","[261.0]","[0.0]","[0.5]","[3.0]","[167.3873848009834]","[0.0]","[1.1657694790286592]","[4.2629727106371496]","[30.0]","[0.3604394701950444]","[0.0]","[41.0]","[4.440967083179668]","[367.0]","[126.0]","[0.0]","[0.7541917808219178]","[0.0]","[128.0]","[0.9791780821917808]","[55.0]","[0.0]","[1.0]","[55.0]","[2.395968172461329]","[0.0]","[5419.0]","[0.0]","[7340.0]","[0.0]","[45.97638110171204]","[0.0]","[88547.9265597201]","[0.0]","[3.4542157860114333]","[0.0]","[262.88183547402775]","[783795.0]","[0.0]","[20.0]","[10.0]","[3.0]","[295.0]","[-0.02409711711587503]","[100.0]","[5.1123952E7]","[0.0]","[0.0]","[0.0]","[60.0]","[0.0]","[295.0]","[0.0]","[0.0]","[0.10054794520547945]","[-0.15114609347740138]","[2.770126033363775]","[2.020554750810179]","[5.62850897217268]","[3650.0]","[0.0]","[3574.0]"
910,2819,18.85645251615108,5.26423086886632,102.57091581612949,-0.8620126821240137,-4.0884389E7,1,637,"[46.0]","[104.0]","[0.0]","[0.8620126821240137]","[0.0]","[0.0]","[0.0]","[40.0]","[102.57091581612949]","[5.26423086886632]","[259.0]","[0.0]","[0.5]","[3.0]","[1297.350970451962]","[0.0]","[0.2523022345330386]","[18.85645251615108]","[30.0]","[0.613952887340736]","[0.0]","[16.0]","[3.804391286076182]","[367.0]","[127.0]","[0.0]","[0.9680768672249382]","[0.0]","[140.0]","[1.0]","[55.0]","[0.0]","[1.0]","[60.0]","[3.594664729069019]","[0.0]","[4962.0]","[0.0]","[7451.0]","[0.0]","[60.55888968437561]","[0.0]","[686298.6633690884]","[0.0]","[4.528518652013709]","[0.0]","[323.15966634955]","[673889.0]","[0.0]","[20.0]","[10.0]","[3.0]","[283.0]","[-0.010793085441339815]","[100.0]","[4.0884389E7]","[0.0]","[0.0]","[0.0]","[60.0]","[0.0]","[283.0]","[0.0]","[0.0]","[0.10054794520547945]","[-0.009405083059960474]","[4.314352007323925]","[1.1798293470273131]","[1.5254984786202115]","[3650.0]","[0.0]","[3650.0]"
910,2819,66.99414826746364,11.694351714710546,110.0,-0.8361260065445446,-3.36073525E7,4,327,"[46.0,46.0,46.0,46.0]","[105.0,107.0,100.0,103.0]","[0.0,0.0,0.0,0.0]","[0.784926614481409,0.5053493379759014,0.8873253986076802,0.911792158715163]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[40.0,40.0,40.0,40.0]","[110.0,110.0,110.0,110.0]","[11.694351714710546,11.694351714710546,11.694351714710546,11.694351714710546]","[266.0,267.0,270.0,265.0]","[0.0,0.0,0.0,0.0]","[0.5,0.5,0.5,0.5]","[3.0,3.0,3.0,3.0]","[152.51670766042523,165.38691869686235,36985.180643454594,16850.84370654257]","[0.0,0.0,0.0,0.0]","[1.172847189240738,1.187006388012018,1.5433920080034964E-18,0.18165977312278878]","[66.99414826746364,66.99414826746364,66.99414826746364,66.99414826746364]","[30.0,30.0,30.0,30.0]","[0.3402390541012079,0.369024055023841,0.9224724331798307,0.8035352155375237]","[0.0,0.0,0.0,0.0]","[30.0,31.0,43.0,41.0]","[10.962559897370587,8.167076501398281,1.5066725273866942E-16,2.3849151102214288]","[367.0,367.0,0.0,0.0]","[133.0,142.0,133.0,145.0]","[0.0,0.0,0.0,0.0]","[0.887954011741683,0.8554111879781922,0.9019447563440378,0.9189305621162022]","[0.0,0.0,0.0,0.0]","[117.0,126.0,129.0,104.0]","[1.0,1.0,1.0,1.0]","[55.0,55.0,55.0,55.0]","[0.0,0.0,0.0,0.0]","[1.0,1.0,1.0,1.0]","[58.0,59.0,32.0,33.0]","[2.681450827474215,2.1652518004382757,4.12455609983116,3.887188802946265]","[0.0,0.0,0.0,0.0]","[5364.0,5321.0,5297.0,5263.0]","[0.0,0.0,0.0,0.0]","[7725.0,7993.0,8143.0,8356.0]","[0.0,0.0,0.0,0.0]","[48.0839951247515,48.855538069343794,59.40862177551042,58.000107495378586]","[0.0,0.0,0.0,0.0]","[80681.33835236491,87489.67999063994,1.956516056038748E7,8914096.320761029]","[0.0,0.0,0.0,0.0]","[3.699875662448469,3.555825492051573,4.6151879258843955,4.432930948027564]","[0.0,0.0,0.0,0.0]","[278.1948763941241,251.21438389361296,349.3189725935377,338.3089537120912]","[334372.0,404631.0,177263.0,249308.0]","[0.0,0.0,0.0,0.0]","[20.0,20.0,20.0,20.0]","[10.0,10.0,10.0,10.0]","[3.0,3.0,3.0,3.0]","[280.0,299.0,305.0,290.0]","[-0.0311196775791755,-0.03626537292316138,0.01581370335389604,0.011756166415692725]","[100.0,100.0,100.0,100.0]","[4.4565982E7,4.5895748E7,1.0748218E7,2.2648723E7]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[60.0,60.0,60.0,60.0]","[0.0,0.0,0.0,0.0]","[280.0,299.0,305.0,290.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.10054794520547945,0.10054794520547945,0.0,0.0]","[-0.18629808675555676,-0.19447763512684535,0.2288402570802041,0.15680082539147505]","[2.567378854687405,2.6965723229303524,6.340947345748752,5.653511629173825]","[2.2688011315460352,2.2951041059845645,2.3296483139675416E-17,0.8290393845498065]","[4.517916254206138,3.894703902353181,2.5419293574261823E-17,0.3766928894440404]","[3650.0,3650.0,3650.0,3650.0]","[0.0,0.0,0.0,0.0]","[3650.0,3650.0,3650.0,3650.0]"
910,2819,13.966311975964677,7.732765481498721,110.0,-0.85211899272119,-4.2398197E7,1,694,"[46.0]","[105.0]","[0.0]","[0.85211899272119]","[0.0]","[0.0]","[0.0]","[40.0]","[110.0]","[7.732765481498721]","[256.0]","[0.0]","[0.5]","[3.0]","[1462.963176491965]","[0.0]","[0.4751480784943731]","[13.966311975964677]","[30.0]","[0.48059410339393777]","[0.0]","[26.0]","[6.684109418782026]","[367.0]","[133.0]","[0.0]","[0.9330485103304851]","[0.0]","[144.0]","[1.0]","[55.0]","[0.0]","[1.0]","[50.0]","[3.5168092508429285]","[0.0]","[5386.0]","[0.0]","[7587.0]","[0.0]","[54.59991282442426]","[0.0]","[773907.520364249]","[0.0]","[4.2154427864287385]","[0.0]","[317.4121407414022]","[670778.0]","[0.0]","[20.0]","[10.0]","[3.0]","[303.0]","[-0.021512650244884374]","[100.0]","[4.2398197E7]","[0.0]","[0.0]","[0.0]","[60.0]","[0.0]","[303.0]","[0.0]","[0.0]","[0.10054794520547945]","[-0.05043960712523165]","[3.583544087939671]","[1.2103734796711563]","[1.4664785042776214]","[3650.0]","[0.0]","[3650.0]"
910,2819,13.500614783214083,7.9948546130681875,107.57587404351325,-0.9075498758848948,-2.5024829E7,1,738,"[46.0]","[104.0]","[0.0]","[0.9075498758848948]","[0.0]","[0.0]","[0.0]","[40.0]","[107.57587404351325]","[7.9948546130681875]","[259.0]","[0.0]","[0.5]","[3.0]","[16258.184547850475]","[0.0]","[0.1479395654235963]","[13.500614783214083]","[30.0]","[0.7755055251317577]","[0.0]","[34.0]","[3.071651740836315]","[2.0]","[133.0]","[0.0]","[0.9196258159418959]","[0.0]","[131.0]","[1.0]","[55.0]","[0.0]","[1.0]","[40.0]","[3.9504385395356856]","[0.0]","[5256.0]","[0.0]","[7490.0]","[0.0]","[60.12361572723875]","[0.0]","[8600579.625812896]","[0.0]","[4.497735684592622]","[0.0]","[340.59978122407]","[525358.0]","[0.0]","[20.0]","[10.0]","[3.0]","[298.0]","[5.801699321799528E-4]","[100.0]","[2.5024829E7]","[0.0]","[0.0]","[0.0]","[60.0]","[0.0]","[298.0]","[0.0]","[0.0]","[5.47945205479452E-4]","[0.07379437698952837]","[5.112193631899747]","[0.23259089852199608]","[0.3954736289083372]","[3650.0]","[0.0]","[3650.0]"
910,2819,36.59227290977769,0.0,110.0,-0.8510340153517875,-3.25946155E7,2,594,"[46.0,46.0]","[107.0,103.0]","[0.0,0.0]","[0.786346431146359,0.915721599557216]","[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[40.0,40.0]","[110.0,110.0]","[0.0,0.0]","[262.0,263.0]","[0.0,0.0]","[0.5,0.5]","[3.0,3.0]","[138.3371242722691,23036.080123324602]","[0.0,0.0]","[0.9295804238780726,0.03321484099106635]","[36.59227290977769,36.59227290977769]","[30.0,30.0]","[0.3714919509125595,0.9038710501300051]","[0.0,0.0]","[0.0,0.0]","[8.175423145434229,1.3735524889613921]","[367.0,0.0]","[132.0,144.0]","[0.0,0.0]","[0.8065744412400865,0.9507900927079009]","[0.0,0.0]","[172.0,153.0]","[1.0,1.0]","[55.0,55.0]","[0.0,0.0]","[1.0,1.0]","[59.0,37.0]","[3.2120866660896286,3.9848516138569616]","[0.0,0.0]","[5452.0,5372.0]","[0.0,0.0]","[7175.0,7675.0]","[0.0,0.0]","[45.76860370417767,60.587475414229836]","[0.0,0.0]","[73180.33874003039,1.2186086385238724E7]","[0.0,0.0]","[3.4872043103729773,4.701747691609669]","[0.0,0.0]","[303.234240896524,341.6894943169992]","[488290.0,350245.0]","[0.0,0.0]","[20.0,20.0]","[10.0,10.0]","[3.0,3.0]","[304.0,297.0]","[-0.028225429008375595,0.018059441839544315]","[100.0,100.0]","[4.6479417E7,1.8709814E7]","[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[60.0,60.0]","[0.0,0.0]","[304.0,297.0]","[0.0,0.0]","[0.0,0.0]","[0.10054794520547945,0.0]","[-0.23606725090634037,0.22012081374198908]","[2.364534015514883,6.148463192811024]","[1.502235170456544,0.22297210470395593]","[4.292823203197587,0.3963565471880438]","[3650.0,3650.0]","[0.0,0.0]","[3650.0,3650.0]"
910,2819,79.12639808304367,6.367107056436907,108.75115797818157,-0.8804465034035692,-2.9875675E7,2,221,"[46.0,46.0]","[106.0,102.0]","[0.0,0.0]","[0.8354721945024041,0.9254208123047344]","[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[40.0,40.0]","[108.75115797818157,108.75115797818157]","[6.367107056436907,6.367107056436907]","[270.0,266.0]","[0.0,0.0]","[0.5,0.5]","[3.0,3.0]","[251.5436743289224,25459.55803412]","[0.0,0.0]","[1.1028896086797104,0.12689485002715192]","[79.12639808304367,79.12639808304367]","[30.0,30.0]","[0.40284557156879824,0.769052141252335]","[0.0,0.0]","[22.0,17.0]","[8.23042711975711,2.3760956987799555]","[367.0,0.0]","[133.0,141.0]","[0.0,0.0]","[0.8895164655719858,0.9637664023071377]","[0.0,0.0]","[147.0,127.0]","[1.0,1.0]","[55.0,55.0]","[0.0,0.0]","[1.0,1.0]","[56.0,34.0]","[2.8033242132404887,4.01484259238218]","[0.0,0.0]","[5374.0,5257.0]","[0.0,0.0]","[7194.0,7925.0]","[0.0,0.0]","[47.57651586797318,62.26859339949471]","[0.0,0.0]","[133066.60371999966,1.3468106200049493E7]","[0.0,0.0]","[3.735261991231206,4.628238583762553]","[0.0,0.0]","[283.6197261881622,344.5178738395534]","[213805.0,173086.0]","[0.0,0.0]","[20.0,20.0]","[10.0,10.0]","[3.0,3.0]","[302.0,285.0]","[-0.02321231266585342,0.004609013029265799]","[100.0,100.0]","[4.1919252E7,1.7832098E7]","[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[60.0,60.0]","[0.0,0.0]","[302.0,285.0]","[0.0,0.0]","[0.0,0.0]","[0.10054794520547945,0.0]","[-0.15517684146402455,0.13785077550809052]","[3.035310378146593,5.388947123948681]","[1.9391423694902952,0.8205542678869561]","[5.3313829915484705,0.995801902409723]","[3650.0,3650.0]","[0.0,0.0]","[3650.0,3650.0]"
910,2819,51.659053782644904,19.626468009676156,99.24933125591787,-0.9366811290401209,-1.9536592E7,1,824,"[46.0]","[99.0]","[0.0]","[0.9366811290401209]","[0.0]","[0.0]","[0.0]","[40.0]","[99.24933125591787]","[19.626468009676156]","[255.0]","[0.0]","[0.5]","[3.0]","[24232.325650543997]","[0.0]","[0.021855149526337166]","[51.659053782644904]","[30.0]","[0.8335053246396621]","[0.0]","[55.0]","[1.1960074941064578]","[0.0]","[115.0]","[0.0]","[0.9733027836006435]","[0.0]","[111.0]","[1.0]","[55.0]","[0.0]","[1.0]","[18.0]","[3.9864236703815186]","[0.0]","[4825.0]","[0.0]","[7062.0]","[0.0]","[59.85338396921286]","[0.0]","[1.2818900269137785E7]","[0.0]","[4.73836509364818]","[0.0]","[343.00650591662605]","[281590.0]","[0.0]","[20.0]","[10.0]","[3.0]","[281.0]","[0.012183188612954678]","[100.0]","[1.9536592E7]","[0.0]","[0.0]","[0.0]","[60.0]","[0.0]","[281.0]","[0.0]","[0.0]","[0.0]","[0.19789144681263]","[5.901641386114537]","[0.4513673926149915]","[0.00906928525441152]","[3650.0]","[0.0]","[3650.0]"
