CattleNECSatifactionIndex,MSTBaldiol,MSTCaangol,MSTCattleNEC,MSTSangre,MSTSeeno,MSTSheepNEC,MSTTempsPasse,MSTTransCattleNEC,MSTTransSheepNEC,MSTTrees,SatisfactionMeanTreesInBaldiol,SatisfactionMeanTreesInCaangol,SatisfactionMeanTreesInSangre,SatisfactionMeanTreesInSeeno,SheepNECSatifactionIndex,avgUBTpercamp,cattlesTempCamp,cattlesWeightGain,decreasingFactor,goodShepherdPercentage,maxTransCattlesLiveWeight,maxTransSheepsLiveWeight,meanCattlesGrassEaten,meanCattlesLiveWeight,meanCattlesNEC,meanFruitsConsumedCattle,meanFruitsConsumedSheep,meanGrass,meanLeavesConsumedCattle,meanLeavesConsumedSheep,meanSheepsGrassEaten,meanSheepsLiveWeight,meanSheepsNEC,meanTransCattlesLiveWeight,meanTransCattlesNEC,meanTransSheepsLiveWeight,meanTransSheepsNEC,minTimePresence,minTransCattlesLiveWeight,minTransSheepsLiveWeight,numberofCamps,openmole$experiment,proportionBigHerders,proportionMediumHerders,reforestationPlots,sheepsTempCamp,sheepsWeightGain,sumLargeHerder,sumMediumHerder,sumSmallHerder,thresholdTreeSatisfaction,totalCattles,totalFoyers,totalGPBaldiol,totalGPCaangol,totalGPSangre,totalGPSeeno,totalGrass,totalLocalFoyers,totalSheeps,totalTransCattles,totalTransFoyers,totalTransSheeps,totalTrees,totalTreesOldes,totalTreesYoung,trajSatisfactionBaldiol,trajSatisfactionCaangol,trajSatisfactionSangre,trajSatisfactionSeeno,transCattlesWeightGain,transSheepsWeightGain,treesKilled
3.0,1.0,0.0,0.9597620035976201,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.22868682536317358,10.0,90.0,0.0,0.0,6.34135646623187,342.77837184590544,3.9784977456619717,3.429354292091853E-17,2.2075320024104278E-17,41931.64061525531,2.4980652043885806E-16,8.676131456638123E-17,0.9214138039044291,70.57669307232331,4.982175713580019,0.0,0.0,0.0,0.0,30.0,0.0,0.0,70.0,3150,40.0,20.0,6.0,0.0,0.016769720655214152,80.0,39.0,79.0,0.5,3439.0,198.0,219.0,0.0,5.0,88.0,2.2181837885470014E7,198.0,4756.0,0.0,0.0,0.0,9316133.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,35393.0
3.0,1.0,0.0,0.8301698630136986,0.0,1.0,0.6632219178082193,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.2056823448023279,10.0,90.0,0.0,0.0,6.340237930178015,349.05153529063307,4.120143120293906,8.227000664496555E-18,0.0,56289.26048248948,1.4018325867335797E-16,0.0,0.9232046332229991,51.31750913695099,4.342998469704245,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3175,40.0,20.0,4.0,0.0,0.014535796245841906,13.0,3.0,9.0,0.5,496.0,25.0,203.0,0.0,0.0,85.0,2.977701879523695E7,25.0,650.0,0.0,0.0,0.0,8671230.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4325.0
3.0,1.0,0.0,0.9475195694716242,0.0,1.0,0.9964065557729941,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.2245400710291244,10.0,90.0,0.0,0.0,6.339988911869109,349.12367502072766,4.110126990245147,3.2828486090436356E-17,1.0538988372250196E-19,51806.0857222937,1.225356880362497E-16,1.800897601227418E-18,0.9225202428662432,59.60175855106655,4.652238735036685,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3166,40.0,20.0,2.0,0.0,0.015015268340337357,46.0,24.0,42.0,0.5,1951.0,112.0,209.0,0.0,0.0,87.0,2.7405419347093333E7,112.0,2806.0,0.0,0.0,0.0,8875919.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,18354.0
3.0,1.0,0.0,0.8867710371819961,0.0,1.0,0.6662818003913895,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.23044318397729743,10.0,90.0,0.0,0.0,6.343667094093536,349.99952509326397,4.136004648218648,0.0,1.4591520383765867E-17,54035.63302001989,0.0,1.482975003285763E-19,0.9247310976953532,45.512443547853465,4.334086362979185,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3292,40.0,0.0,8.0,0.0,0.021056946198638644,13.0,0.0,15.0,0.5,485.0,28.0,206.0,0.0,0.0,85.0,2.8584849867590517E7,28.0,718.0,0.0,0.0,0.0,8677415.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4453.0
3.0,1.0,0.0,0.8745205479452055,0.0,1.0,0.732829064919595,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.240955919019173,10.0,90.0,0.0,0.0,6.336498037430028,350.0,4.136008230452674,0.0,0.0,55180.37767315301,1.2918958832001822E-15,0.0,0.9213620380538694,60.075584865817824,4.563890592935602,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,3170,40.0,20.0,8.0,0.0,0.014790880325554423,14.0,5.0,4.0,0.5,471.0,23.0,204.0,0.0,0.0,85.0,2.9190419789097913E7,23.0,806.0,0.0,0.0,0.0,8666485.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,4574.0
3.0,1.0,0.0,0.9521248805352024,0.0,1.0,0.9999872570882447,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.2260079470866072,10.0,90.0,0.0,0.0,6.346645674272408,349.3727714083032,4.116837096597929,2.306435097884605E-16,2.9766332651680557E-18,51412.56146367088,1.0558312082291642E-16,5.308082071575352E-17,0.9240963526047499,65.19673588086403,4.861541137409372,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3288,40.0,0.0,2.0,0.0,0.017424363801552496,48.0,0.0,81.0,0.5,1958.0,129.0,207.0,0.0,0.0,89.0,2.719724501428189E7,129.0,2762.0,0.0,0.0,0.0,8712839.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,18824.0
3.0,1.0,0.0,0.9531963470319634,0.0,1.0,0.9881539465101108,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.24337678839039667,10.0,90.0,0.0,0.0,6.350205590858729,349.54305414039857,4.130409451452678,2.690198596791238E-17,3.133005653656205E-17,49995.06989628578,1.321495516434466E-17,2.608849927038778E-17,0.9251871240480518,57.41715997487822,4.610303156870341,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3285,40.0,0.0,6.0,0.0,0.020238601575786722,48.0,0.0,78.0,0.5,1976.0,126.0,208.0,0.0,0.0,88.0,2.6447391975135192E7,126.0,2649.0,0.0,0.0,0.0,8797318.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,17725.0
3.0,1.0,0.0,0.9556415350831329,0.0,1.0,0.9972121719125798,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.24261287169941143,10.0,90.0,0.0,0.0,6.3441523925815755,348.7406603342433,4.105605378094174,5.793656153120817E-17,2.4969563763585427E-17,49357.93931111684,0.0,2.5092918006269334E-19,0.9249055604094426,58.13219771366787,4.549319025630821,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3156,40.0,20.0,10.0,0.0,0.020593171393808944,42.0,29.0,60.0,0.5,1953.0,131.0,210.0,0.0,0.0,88.0,2.611034989558079E7,131.0,2793.0,0.0,0.0,0.0,9043405.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,19167.0
3.0,1.0,0.0,0.9520430862896617,0.0,1.0,0.9975389298676971,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.24029480489001112,10.0,90.0,0.0,0.0,6.346116012743416,349.9274170085672,4.133435381586834,2.254451559630346E-16,7.779851221994704E-18,49561.714155229165,2.286612310592396E-18,7.465429878989306E-17,0.9241584322615226,59.42983837360831,4.823972627838219,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3104,40.0,30.0,8.0,0.0,0.02029193543505129,44.0,39.0,34.0,0.5,1918.0,117.0,209.0,0.0,0.0,86.0,2.621814678811623E7,117.0,3012.0,0.0,0.0,0.0,8689718.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,19153.0
3.0,1.0,0.0,0.9563265753424658,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,100.0,55.0,20.0,3.0,60.0,0.0,0.25115976352749336,10.0,90.0,0.0,0.0,6.345160907697166,346.99799521901235,4.091080412397539,6.397805636876807E-17,3.164311461316579E-17,45722.97881786674,1.060716431824154E-16,1.4656595833651988E-16,0.9246424274433995,69.47533973443252,4.997669305567927,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,3284,40.0,0.0,6.0,0.0,0.016610506821318958,49.0,0.0,76.0,0.5,1930.0,125.0,207.0,0.0,0.0,89.0,2.4187455794651497E7,125.0,2937.0,0.0,0.0,0.0,8831948.0,0.0,0.0,3650.0,0.0,0.0,3650.0,0.0,0.0,19373.0
