#section: firstOrderIndices
output,numberofCamps,proportionBigHerders,proportionMediumHerders,decreasingFactor,CattleNECSatifactionIndex,retardJours
MSTCattleNEC,0.5122428536715661,-0.0038576736366741356,0.015133535361250224,0.29454786755015305,0.028579805689922088,-0.007509939026232257
totalTrees,1.6654630862445357,0.25887879069578956,1.0330127471459858,-0.31934426763563173,0.08206133758386892,-0.22459677459689084
#section: totalOrderIndices
output,numberofCamps,proportionBigHerders,proportionMediumHerders,decreasingFactor,CattleNECSatifactionIndex,retardJours
MSTCattleNEC,0.8907191589489021,0.007233771922790591,0.00938282120908963,0.5953540397703404,0.013938191257227955,0.031173041156134375
totalTrees,0.845935533942893,0.009198045764019974,0.01858472493469326,0.4669606716113732,0.0037649277833469155,0.0016359967772437598
#section: experiments
numberofCamps,proportionBigHerders,proportionMediumHerders,decreasingFactor,CattleNECSatifactionIndex,retardJours,MSTCattleNEC,totalTrees
55.0,25.0,25.0,40.0,2.5,22.5,0.06778641319541515,4.8966045E7
77.5,12.5,12.5,20.0,2.75,33.75,0.028263233978109727,5.1121829E7
32.5,37.5,37.5,60.0,2.25,11.25,0.27880626223091975,4.6352103E7
43.75,18.75,31.25,70.0,2.375,5.625,0.0963645943097998,4.8149481E7
88.75,43.75,6.25,30.0,2.875,28.125,0.018129740744933773,5.3630191E7
66.25,6.25,43.75,50.0,2.625,39.375,0.03185355800703116,5.2596439E7
21.25,31.25,18.75,10.0,2.125,16.875,0.929371268001405,4.4802353E7
26.875,15.625,46.875,35.0,2.5625,14.0625,0.8421411304247727,4.5792047E7
71.875,40.625,21.875,75.0,2.0625,36.5625,0.09832849038328491,5.3766648E7
94.375,3.125,34.375,15.0,2.3125,25.3125,0.028457772841334487,5.3807821E7
49.375,28.125,9.375,55.0,2.8125,2.8125,0.023193000071720576,4.7932482E7
38.125,9.375,15.625,45.0,2.9375,19.6875,0.32276700960609334,4.6116328E7
83.125,34.375,40.625,5.0,2.4375,42.1875,0.7275882453248451,4.5855312E7
60.625,21.875,3.125,65.0,2.1875,30.9375,0.11157810226303377,5.1092234E7
15.625,46.875,28.125,25.0,2.6875,8.4375,0.9068869191512221,4.5016182E7
18.4375,23.4375,23.4375,52.5,2.28125,43.59375,0.9189823874755382,4.5684789E7
63.4375,48.4375,48.4375,12.5,2.78125,21.09375,0.7776658957480875,4.5657222E7
85.9375,10.9375,10.9375,72.5,2.53125,9.84375,0.016274304021210783,5.3604551E7
40.9375,35.9375,35.9375,32.5,2.03125,32.34375,0.6395826198630137,4.6356175E7
52.1875,4.6875,42.1875,22.5,2.15625,37.96875,0.34391490111439016,4.6617315E7
55.0,25.0,25.0,40.0,2.5,22.5,0.06778641319541515,4.8966045E7
32.5,37.5,37.5,60.0,2.75,33.75,0.1654990215264188,4.6116974E7
77.5,12.5,12.5,20.0,2.25,11.25,0.055576512700488745,5.2978169E7
43.75,43.75,43.75,50.0,2.875,16.875,0.04297490604921809,4.6279358E7
88.75,18.75,18.75,10.0,2.375,39.375,0.5606058362222746,4.6114539E7
21.25,6.25,6.25,30.0,2.125,28.125,0.9537219088548662,4.5954609E7
66.25,31.25,31.25,70.0,2.625,5.625,0.03591656288916563,5.3156724E7
49.375,46.875,46.875,25.0,2.6875,2.8125,0.09587828827736695,4.7121362E7
94.375,21.875,21.875,65.0,2.1875,25.3125,0.04380251435010741,5.3851795E7
26.875,9.375,9.375,45.0,2.4375,36.5625,0.8274705149805875,4.6851561E7
71.875,34.375,34.375,5.0,2.9375,14.0625,0.6703544443761902,4.5605693E7
15.625,3.125,3.125,75.0,2.3125,19.6875,0.3466132771338251,4.5837262E7
60.625,28.125,28.125,35.0,2.8125,42.1875,0.019077625570776257,4.9142386E7
38.125,40.625,40.625,15.0,2.5625,30.9375,0.955021969501163,4.5108966E7
83.125,15.625,15.625,55.0,2.0625,8.4375,0.07576330347734457,5.3617319E7
57.8125,42.1875,23.4375,12.5,2.09375,18.28125,0.8639768047735104,4.5511851E7
12.8125,17.1875,48.4375,52.5,2.59375,40.78125,0.9049414694894147,4.5648818E7
80.3125,4.6875,35.9375,72.5,2.84375,29.53125,0.009043332401453733,5.3490022E7
35.3125,29.6875,10.9375,32.5,2.34375,7.03125,0.69573385518591,4.5919345E7
91.5625,10.9375,29.6875,42.5,2.96875,1.40625,0.007180224364394836,5.3690799E7
55.0,25.0,25.0,40.0,2.5,22.5,0.06778641319541515,4.8966045E7
32.5,12.5,12.5,20.0,2.75,33.75,0.9099978706792533,4.5157956E7
77.5,37.5,37.5,60.0,2.25,11.25,0.061036443525458776,5.3026563E7
43.75,18.75,31.25,70.0,2.375,5.625,0.0963645943097998,4.8149481E7
88.75,43.75,6.25,30.0,2.875,28.125,0.018129740744933773,5.3630191E7
21.25,6.25,43.75,50.0,2.625,39.375,0.8471415525114155,4.5711424E7
66.25,31.25,18.75,10.0,2.125,16.875,0.8407524415022612,4.5706093E7
49.375,15.625,46.875,35.0,2.5625,14.0625,0.07065829528158295,4.713812E7
94.375,40.625,21.875,75.0,2.0625,36.5625,0.07293019702013863,5.4066754E7
26.875,3.125,34.375,15.0,2.3125,25.3125,0.9653563841476814,4.487264E7
71.875,28.125,9.375,55.0,2.8125,2.8125,0.01991245236378618,5.3447132E7
15.625,9.375,15.625,45.0,2.9375,19.6875,0.9021841704718417,4.6031723E7
60.625,34.375,40.625,5.0,2.4375,42.1875,0.7572658939234282,4.5584518E7
38.125,21.875,3.125,65.0,2.1875,30.9375,0.2962609866181012,4.6378118E7
83.125,46.875,28.125,25.0,2.6875,8.4375,0.03789767961979312,5.2676864E7
57.8125,23.4375,23.4375,52.5,2.28125,43.59375,0.09290048164133358,4.9134035E7
12.8125,48.4375,48.4375,12.5,2.78125,21.09375,0.8548106365834005,4.4575148E7
80.3125,10.9375,10.9375,72.5,2.53125,9.84375,0.021919553267603174,5.3545222E7
35.3125,35.9375,35.9375,32.5,2.03125,32.34375,0.842772602739726,4.6182775E7
91.5625,4.6875,42.1875,22.5,2.15625,37.96875,0.045392322958516876,5.3660601E7
55.0,25.0,25.0,40.0,2.5,22.5,0.06778641319541515,4.8966045E7
77.5,37.5,12.5,20.0,2.75,33.75,0.03552277250907388,5.0983852E7
32.5,12.5,37.5,60.0,2.25,11.25,0.33666692759295497,4.6234101E7
43.75,43.75,31.25,70.0,2.375,5.625,0.11807986997910379,4.7298956E7
88.75,18.75,6.25,30.0,2.875,28.125,0.012209935632942731,5.3672828E7
66.25,6.25,43.75,50.0,2.625,39.375,0.03185355800703116,5.2596439E7
21.25,31.25,18.75,10.0,2.125,16.875,0.929371268001405,4.4802353E7
26.875,46.875,46.875,35.0,2.5625,14.0625,0.8677356970185334,4.6002219E7
71.875,21.875,21.875,75.0,2.0625,36.5625,0.09060735503510581,5.3209854E7
94.375,9.375,34.375,15.0,2.3125,25.3125,0.03573081022068571,5.3915902E7
49.375,34.375,9.375,55.0,2.8125,2.8125,0.021306108382872405,4.850443E7
38.125,3.125,15.625,45.0,2.9375,19.6875,0.2657707891182713,4.6208618E7
83.125,28.125,40.625,5.0,2.4375,42.1875,0.6098108735839218,4.5913802E7
60.625,40.625,3.125,65.0,2.1875,30.9375,0.09659321024419298,5.2609094E7
15.625,15.625,28.125,25.0,2.6875,8.4375,0.9006936015259234,4.4999873E7
18.4375,42.1875,23.4375,52.5,2.28125,43.59375,0.8970465753424657,4.5630564E7
63.4375,17.1875,48.4375,12.5,2.78125,21.09375,0.809650150226613,4.5589749E7
85.9375,4.6875,10.9375,72.5,2.53125,9.84375,0.01149505145179262,5.3565058E7
40.9375,29.6875,35.9375,32.5,2.03125,32.34375,0.6513718483224141,4.6286721E7
52.1875,10.9375,42.1875,22.5,2.15625,37.96875,0.21665753424657533,4.7249159E7
55.0,25.0,25.0,40.0,2.5,22.5,0.06778641319541515,4.8966045E7
77.5,12.5,37.5,20.0,2.75,33.75,0.030405817327114473,5.3424823E7
32.5,37.5,12.5,60.0,2.25,11.25,0.30295535261288686,4.6219487E7
43.75,18.75,43.75,70.0,2.375,5.625,0.09619684477049925,4.8515121E7
88.75,43.75,18.75,30.0,2.875,28.125,0.0221008774698567,5.3592854E7
66.25,6.25,6.25,50.0,2.625,39.375,0.0304421566124961,5.3241763E7
21.25,31.25,31.25,10.0,2.125,16.875,0.9617465753424658,4.4775473E7
26.875,15.625,46.875,35.0,2.5625,14.0625,0.8421411304247727,4.5792047E7
71.875,40.625,21.875,75.0,2.0625,36.5625,0.09832849038328491,5.3766648E7
94.375,3.125,9.375,15.0,2.3125,25.3125,0.027556010754064778,5.3808329E7
49.375,28.125,34.375,55.0,2.8125,2.8125,0.029883307965499747,4.8368371E7
38.125,9.375,3.125,45.0,2.9375,19.6875,0.32202327047629964,4.6221192E7
83.125,34.375,28.125,5.0,2.4375,42.1875,0.7015399149740199,4.5814594E7
60.625,21.875,40.625,65.0,2.1875,30.9375,0.09607418682000113,5.2595666E7
15.625,46.875,15.625,25.0,2.6875,8.4375,0.9090589636688505,4.5124871E7
18.4375,23.4375,23.4375,52.5,2.28125,43.59375,0.9189823874755382,4.5684789E7
63.4375,48.4375,48.4375,12.5,2.78125,21.09375,0.7776658957480875,4.5657222E7
85.9375,10.9375,35.9375,72.5,2.53125,9.84375,0.014180083115283976,5.3770401E7
40.9375,35.9375,10.9375,32.5,2.03125,32.34375,0.7088501452885015,4.6364116E7
52.1875,4.6875,29.6875,22.5,2.15625,37.96875,0.554523715258532,4.6363564E7
55.0,25.0,25.0,40.0,2.5,22.5,0.06778641319541515,4.8966045E7
77.5,12.5,12.5,60.0,2.75,33.75,0.014351208095270875,5.3412538E7
32.5,37.5,37.5,20.0,2.25,11.25,0.9679815487838972,4.5387013E7
