nutritive,1,0,0.5,5,10
nutritive,2,0,0.5,101,9
nutritive,3,0,0.5,197,8
nutritive,4,1.71,2.1,293,5
nutritive,5,2.28,2.8,389,4
nutritive,6,2.85,3.5,485,3
nutritive,7,4.56,5.6,581,3
nutritive,8,5.7,7,677,3
lessNutritive,1,0,0.5,5,10
lessNutritive,2,0,0.5,101,9
lessNutritive,3,0,0.5,197,8
lessNutritive,4,1.71,2.1,293,5
lessNutritive,5,2.28,2.8,389,4
lessNutritive,6,2.85,3.5,485,3
lessNutritive,7,4.56,5.6,581,3
lessNutritive,8,5.7,7,677,3
fruity,1,0,0.5,5,10
fruity,2,0,0.5,101,9
fruity,3,0,0.5,197,8
fruity,4,1.71,2.1,293,5
fruity,5,2.28,2.8,389,4
fruity,6,2.85,3.5,485,3
fruity,7,4.56,5.6,581,3
fruity,8,5.7,7,677,3
